"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"そうだな、みんなの力を貸してくれ。
それと、グループの練習にはリーダーが必要だ","That's right. We need your help, everyone! And we also require a leader to practice with the group","Yes, we need all the help we can get.
Oh, and group practice needs a leader.","That's right. We need your help, everyone! And we
also require a leader to practice with the group","That's right. We need your help, everyone! And we
also require a leader to practice with the group"
"歌唱メンバーはやらなければいけないことも多い。
リーダーの役回りは外しておきたい","There's a lot of things I have to do as the singing club member. So, let me leave out my role in being leader for now..","Singing members have a lot of work to do.
I would like to remove the role of leader.","There's a lot of things I have to do as the singing club member.
So, let me leave out my role in being leader for now..","There are many responsibilities for the vocal members to handle.
I'd prefer to take a step back from the role of leader."
"そこで、ここにいるメンバーに、リーダーを
お願いしたいんだ。グループは全部で４つ……","So, I'd like to ask the members here for a leader. There are four groups in total..","So, I'd like to ask the members here to please give the leader of the group
I'm asking, there are four groups in total: ......","So, I'd like to ask the members here for a leader. 
There are four groups in total..",""
"まずは春香がリーダーのグループ。メンバーは
やよい、響、翼、菜々、蘭子、果穂……","First, Haruka is the leader's group. The members are Yayoi and Hibiki and Tsubasa... Nana? Ranko? Kaho!","First is the group led by Haruka, whose members are
Yayoi, Hibiki, Tsubasa, Nana, Ranko, Kaho ......","First, Haruka is the leader's group. The members are
Yayoi, Hibiki, Tsubasa, Nana, Ranko and Kaho...",""
"はい、頑張ります！","Yes, I'll do my best!","Yes, I will do my best!","Yes, I'll do my best!",""
"次は千早がリーダーで他のメンバーは、雪歩、律子、
あずささん、静香、歌織さん、美嘉、咲耶……","Chihaya was next in line to lead the group, while Yukiho and Ritsuko were with them. Azusa-san... Shizuka... Kaori's team consisted of Mika... Sakuyo?","Next, Chihaya is the leader and the other members are Yukiho and Ritsuko,
Azusa, Shizuka, Kaori, Mika, Sakuya ......","Chihaya was next in line to lead the group, while Yukiho and Ritsuko were
with them. Azusa-san... Shizuka... Kaori's team consisted of Mika... Sakuyo?","Next leader is Chihaya. And the members are
Yukiho, Ritsusuko, Azusa, Shizuka, Kaori, Mika, and Sakuya..."
"分かりました。責任を持って努めます","Understood. I'll do my best to take responsibility","Understood, I will make every effort to be responsible.","Understood. I'll do my best to take responsibility",""
"次は伊織がリーダーで他のメンバーは、
真、美希、未来、杏、凛世、心白……","Iori was next in line to lead the group, and all of our other members were... Makoto! Miki!)","Iori is the next leader and the others are,
True, Miki, Mirai, Anzu, Rinyo, Shinshiro: ......","Iori was next in line to lead the group, and
all of our other members were... Makoto! Miki!)","Iori would be the leader for the next group. The members 
would be Makoto, Miki, Mai, Anzu, Rinze, Kohaku..."
"フフン、伊織ちゃんに任せなさいっ♪","Heheh, leave it to Iori-chan♪","Leave it to Iori!","Heheh, leave it to Iori-chan♪",""
"最後は貴音がリーダーで他のメンバーは、
亜美、真美、紬、きらり、甘奈、甜花","In the end, Takane was their leader and other members were Ami-Mami. Tsumugi... Kirari! Amana!! Tenka!!!","At the end, Takane is the leader and the other members are,
Ami, Mami, Tsumugi, Kirari, Ama, Tetuka","In the end, Takane was their leader and other
members were Ami-Mami. Tsumugi... Kirari! Amana!! Tenka!!!","The last is, Takane, and the members
are Ami, Mami, Tsumugi, Kirari, Amana and Tenka"
"プロデューサーから託された任務……。
必ず果たしてみせます","The mission entrusted to me by Producer... I'll see it through","Producer entrusted me with a mission: .......
I will make sure to fulfill it.","The mission entrusted to me by Producer... 
I'll see it through","The mission entrusted to me by Producer...
I'll definitely fulfill it"
"ありがとう、みんな！
一緒にルミナスを仕上げていこう！","Thank you, everyone! Let's finish Luminous together","Thanks, guys!
Let's finish Luminous together!","Thank you, everyone!
Let's finish Luminous together",""
"なるほど、バランスは取れていますね。
でもそれなら、私はどうして呼ばれたんですか？","I see, it's well-balanced. But then why did you call me here?","I see, it is well balanced.
But then why was I called?","I see, it's well-balanced. But
then why did you call me here?",""
"練習とは別に、相談したい事がある。
律子やみんなの意見を聞きたいんだ","Apart from practice, there's something I want to discuss with you. Ritsuko and everyone else have their own opinions on the matter","Apart from practice, I have something I would like to discuss with you.
I just want to hear what Ritsuko and everyone else has to say.","Apart from practice, there's something I want to discuss with you.
Ritsuko and everyone else have their own opinions on the matter","There's something else I'd like to discuss with you, apart from
practice. I want to hear your opinions, Ritsuko, and everyone else"
"なんだか、難しい相談みたいですね","Sounds like a difficult discussion","Sounds like a difficult consultation.","Sounds like a difficult discussion",""
"その通りだ……俺だけではまだ分からなくてな","Exactly... I still don't get it","Exactly. ...... I'm still trying to figure it out on my own.","Exactly... I still don't get it","That's right... I can not do it by myself."
