"（今日は春香の提案で、
映画を見に行くことになった……）","","(Haruka's suggestion today,
(We're going to the movies: ......)","","(Today was Haruka's suggestion, so they went to go 
see a movie...)",""
"ウォータースライダー、すごく楽しそう！
甘奈さん、一緒に行きませんか？","","The water slide looks like a lot of fun!
Amana, would you like to go with us?","","The water slide looks really fun!
Would you like to come with us, Miss Amana?",""
"我は精霊の担い手！　ウンディーネを身に纏い……
でも、少しだけ……は、恥ずかしいです……","","I am the bearer of the spirit! Wearing the undine ......
But a little ...... is embarrassing ......","","I am the bearer of spirits! Clad in an undine...
But, just a little... I-I'm embarrassed.",""
"ふぅ……準備運動終わり、っと。
よーし、今日はたくさん泳ぐよー♪","","Whew......... prep work done and done.
Okay, lots of swimming today... ♪","","Phew... I'm done warming up.
Alright, I'm going to swim a lot today-♪",""
"あまなっち、どうどう？　亜美の水着？
超せくしーだよね？","","Amananachi, what do you think? Ami's swimsuit?
It's a super Sekusei, isn't it?","","What do you think, Amanacchi? Ami's swimsuit.
It's super sexy, right?",""
"セクシーかどうかはわからないけど、めっちゃ
かわいーと思う！　もちろん、雪歩ちゃんも☆","","I don't know if it's sexy or not, but it's soooo
I think it's cute!","","I don't know if it was sexy or not, but she looked really cute! And Yukiho-chan too.☆","I don't know if it was sexy or not, but she
looked really cute! And Yukiho-chan too.☆"
"え、あ、あの……そう、かな。
甘奈ちゃん、ありがとう","","Eh, uh, uh, ...... yeah, I guess.
Thank you, Amana.","","Huh? U-Um... I guess so.
Amana, thank you.",""
"ところであまなっち。ビジョ、ビジョ、ビジョ～っと
３人もビジョがいるのだが、どう思うかね？","","By the way, Amanachi, vision, vision, vision~!
We have three visionaries, what do you think?","","By the way, Amanacchi. There are three Bijos in total: one for each of us! What do you think?","By the way, Amanacchi. There are three Bijos in
total: one for each of us! What do you think?"
"え？
亜美ちゃん、どういうこと？","","Huh?
Ami, what do you mean?","","Huh?
Ami-chan, what's the meaning of this?",""
"ビジョが集まるってことは、ナンパっしょ！
亜美たち、これからナンパされちゃうかもよ？","","A gathering of visionaries is a pick-up!
Ami and her friends might get picked on from now on.","","The fact that all the bijos are here means they're trying to hit on us!
Ami and the others might get hit on soon, you know?",""
"な、ナンパ……！？
お、男の人、怖いですぅ……","","Hey, pick up ......!
Oh, man, I'm scared. ......","","Wh-Who's hitting on her?!
M-Men are scary...",""
"そこは亜美にお任せあれ！　亜美のミリキビームで
近寄るナンパマンを撃退してやるかんねー！","","Leave that to Ami, with her Miriki Beam!
I'll fight off any pick-up men who approach me!","","Leave that to Ami! I'll use my milli-beam on her and fend off any flirts who come near us.","Leave that to Ami! I'll use my milli-beam on
her and fend off any flirts who come near us."
"亜美ちゃんが守ってくれるなら、安心だね☆","","If Ami-chan is protecting me, I feel safe.","","If you'll protect me, I can rest easy.☆",""
"けど、ホントに困ったら
プロデューサーさんに言わないと！","","But if you're really in trouble
I have to tell Producer!","","But if we're really in trouble, I have to tell Producer!","But if we're really in trouble,
I have to tell Producer!"
"あ、そ、そうだよね……。
水の中だと穴掘れないし、ちゃんと言わないと","","Oh, yes, that's right. ......
You can't dig a hole in the water, and you have to say it right.","","Ah, r-right...
I can't dig a hole in the water.",""
"（その後、プールを満喫した３人。
楽しい一日を過ごせたようだ）","","(The three of us then enjoyed the pool.
(Looks like you had a fun day)","","(The three of us enjoy ourselves in the pool.
Looks like you had a good day.)",""
"（今日は凛世の提案で、
図書館に行くことになった……）","","(Today, at Rinyo's suggestion,
(I'm going to the library: ......)","","(Rinze suggested we go to the library today...)","(Rinze suggested we go to
the library today...)"
"みなさまは……
どのような本を……読まれるのでしょうか……？","","Everyone is welcome to visit ......
What kind of books will you be reading ......?","","You're...
I wonder... what kind of books she'll read?",""
"私はファッション誌を読もうと思います。あ、和服の
特集……凛世さん、よかったら一緒に見ませんか？","","I will read fashion magazines...oh, and kimonos.
Special feature: ...... Rinyo, if you would like to see it with us?","","I'm thinking of reading a fashion magazine. Oh, it has an article on traditional Japanese clothing... Rinze-san! Would you like to watch one with me?","I'm thinking of reading a fashion magazine. Oh, it has an article on traditional
Japanese clothing... Rinze-san! Would you like to watch one with me?"
"真美は、せくしーになれる方法が書いてある本を
探すね！　あ、イタズラがうまくなる本もいいかも！","","Mami has a book that describes how to be a sesshin.
I'll look for it! Oh, a book on how to be a good prankster would be nice!","","Mami, I'll look for a book that has instructions on how to be sexy! Oh yeah. A good one might help you get better at pranks too!!","Mami, I'll look for a book that has instructions on how to be
sexy! Oh yeah. A good one might help you get better at pranks too!!"
"自分は裁縫の本を読むぞ！
家族に新しい洋服を作ってあげるんだ","","I'll read myself a sewing book!
I'm making new clothes for my family.","","I'll read a book about sewing!
I'm going to make new clothes for my family.",""
"私は、アイドル関連の雑誌ですね。
まだ見ぬライバルたちをしっかり確認しないと……","","I am an idol-related magazine.
We need to make sure we check out the competitors we haven't seen yet: ......","","I'm an idol magazine.
I need to make sure these new rivals are safe...",""
"ナナはアニメ系の雑誌ですね。歌って踊れる
声優アイドル目指して業界のリサーチをしないと！","","Nana is an animated magazine; it sings and dances.
I need to research the industry with the goal of becoming a voice-over idol!","","Nana's in an anime magazine. I need to research the industry and become a voice actress idol who can sing!","Nana's in an anime magazine. I need to research the
industry and become a voice actress idol who can sing!"
"真美は、新たなるイタズラを発明するため、
さらなる研究を続けるのじゃー！","","Mami is to invent a new prank,
Keep up the research!","","Mami will continue her research in order to create a new prank!","Mami will continue her research
in order to create a new prank!"
"ナナはアニメ雑誌ですね。最新アニメをきちんと
把握して、ファンの心をしっかり掴まないとっ！","","Nana is an anime magazine, and it's a great way to stay up-to-date on the latest anime.
We have to grasp it and make sure we have the hearts and minds of our fans!","","You're an anime magazine, Nana. You need to get a good grasp on the latest animations and win your fans over with it!","You're an anime magazine, Nana. You need to get a good
grasp on the latest animations and win your fans over with it!"
"それでは……
凛世も……","","Let's see: ......
Rinze also ......","","Well then...
Rinze too...",""
"真美、いろんなアイディアが頭の中をぐるぐる
して、わけわかんなくなっちゃったよ～！","","Mami, all kinds of ideas are going through my head.
I'm so confused!","","Mami, all sorts of ideas are running through my head. I don't know what to do anymore!","Mami, all sorts of ideas are running through
my head. I don't know what to do anymore!"
"ねぇ、ウサミン、りんぴょん、
何かお喋りしようよー！","","Hey, Usamin, Rinpyo,
Let's chat about something!","","Hey, Usamine! Jumpy hoppy. Let's talk about something~","Hey, Usamine! Jumpy hoppy.
Let's talk about something~"
"お喋りするのはいいんですけど、
さすがに図書館で話すのはダメですよ","","I don't mind chatting,
You're right, you can't talk in the library.","","It's fine to talk, but not in the library.","It's fine to talk,
but not in the library."
"真美さん……
よろしければ、こちらを……","","Mami: ......
If you like, you can find it here: ......","","Mami-san...
If you'd like, please take this...",""
"りんぴょん、何かくれるの？
……ん、紙？","","Rinpyo, what will you give me?
...... hmm, paper?","","Are you going to give me something, hoppy?
...Hm, paper?",""
"あ、もしかして、折り紙ですか？
懐かしいなぁ～","","Oh, perhaps it is origami?
I miss it so much!","","Oh, is that origami?
Man, that takes me back.",""
"ふふ……
これを……このように……","","Hmmm... ......
You can see this at ...... like this: ......","","Heheh...
This... is how it's supposed to be.",""
"わぁ、すごい！　あっという間にカエルに
なっちゃった！　ねぇねぇ、真美にもできる？","","Wow, great! In no time at all, he became a frog.
Hey, hey, can Mami do it too?","","Wow, that's amazing! You turned into a frog in no time at all. Hey hey Mami? Can you do it too?","Wow, that's amazing! You turned into a frog in
no time at all. Hey hey Mami? Can you do it too?"
"お教え……
いたします……","","Tell us: ......
We will ......","","Teach me...
I'll do it...",""
"よーし、それじゃナナは、
ウサギさんをつくっちゃいますよー♪","","Okay, then, Nana,
I'll make a rabbit!","","Alright, then I'll make a bunny rabbit.♪","Alright, then I'll make
a bunny rabbit.♪"
"（読書から一転、折り紙遊びをする３人。
充実したオフを過ごしたようでなによりだ！）","","(The three of them play origami, a change from reading.
Glad to see you had a good time off!)","","(In a complete reversal from reading, the three of us are playing origami.
I'm glad to see you had a fulfilling day off!)",""
"（今日は心白の提案で、
洋服を見に行くことになった……）","","(Today, at the suggestion of Xinbai,
(We're going to go look at clothes: ......)","","(At Kohaku's suggestion, we decided to go see some clothes today...)","(At Kohaku's suggestion, we decided
to go see some clothes today...)"
"わぁ……新作がたくさんありますね♪
どれにしようか、迷ってしまいます","","Wow ...... there are a lot of new products...
I can't decide which one to choose!","","Wow... There's a lot of new books.♪
I don't know which one to choose.","Wow... There's a lot of new model.♪
I don't know which one to choose."
"ここのお店は、派手めな色合いのものが多いのね。
あ、これなんて、心白ちゃんに似合いそう♪","","So many of the stores here have fancy shades.
Oh, this looks so good on you, Shinbaku!","","This store has a lot of flashy colors.
Oh, this looks like it'd look good on you.♪",""
"花柄の浴衣など、いかがでしょうか……。
奥空さんのイメージによく似合っていると思いますよ","","How about a flower-patterned yukata, for example? ......
I think it suits Okumora's image well.","","How about a flower-patterned yukata?
I think it fits your image perfectly.",""
"にょっわー☆　どのお洋服もすんごく可愛くて、
きらり、どれにしようか迷っちゃうにぃ♪","","Nyowa☆ All the clothes are so cute,
Kirari, I can't decide which one to choose.","","Nyowaaah! ☆ All your clothes are so cute, I can't decide which one to wear. It makes me wonder what kind of outfits we should go with next time you see them in the sky~!!”♪","Nyowaaah! ☆ All your clothes are so cute, I can't decide which one to wear. It makes me
wonder what kind of outfits we should go with next time you see them in the sky~!!♪"
"まずは、心白を輝かせるためのコーディネートを
見つけるとしよう。フフ、なかなかに心が躍るね","","First, we need to coordinate to make the heart white shine.
Let's find out.","","First, let's find an outfit that will make your heart shine. Heheh... This is quite exciting!","First, let's find an outfit that will make your
heart shine. Heheh... This is quite exciting!"
"わ～！　かわいー服がいっぱい！
心白ちゃんに一番似合うの、どれかな～","","Wow! So many cute clothes!
I wonder which one looks best on Shinbaku.","","Wow! There's so many cute clothes.
Which one would look best on you, Kohaku?",""
"心白ちゃんにお似合いのお洋服は～……？
あ、これなんかどうかなどうかな～♪","","What clothes would suit you, Shinbaku~......?
Oh, how about something like this!","","What's the perfect outfit for you, Kohaku?
Oh, I'm not so sure about this.♪",""
"わぁ、すごく可愛いです！　色とりどりのリボンが
アクセントになっていて……すごく素敵ですね","","Wow, so pretty! The colorful ribbons!
The accents are ...... very nice!","","Wow, they're so cute! The ribbons are colorful and accented... They look wonderful.","Wow, they're so cute! The ribbons are
colorful and accented... They look wonderful."
"めっちゃ似合ってるよ、心白ちゃん！
あ！　こっちの服はきらりちゃんにバッチリかも！","","It looks great on you, Shinbaku!
Ah! This outfit might be perfect for Kirari!","","You look amazing, Kohaku!
Oh! This one's perfect for you, Kirari-chan.",""
"うっきゃー。甘奈ちゃん、ありがとー☆　お返しに
きらりも甘奈ちゃんのお洋服、選んであげゆ♪","","Thanks, Amana!
Kirari also picked out some clothes for Ama-chan...","","Ukyaa. Thank you, sweetie☆ In return I'll pick out some clothes for Amana-chan to wear~♪","Ukyaa. Thank you, sweetie☆ In return I'll pick
out some clothes for Amana-chan to wear~♪"
"私も選んでいいですか？　きらりさん、どっちが
甘奈さんに気に入ってもらえるか、勝負しましょう♪","","Can I choose too? Kirari, which one is it?
Let's see if Amana likes it...let's play...","","Can I choose too? Kirari-san, let's have a match to see which one you like better.♪","Can I choose too? Kirari-san, let's have a
match to see which one you like better.♪"
"にゅっふっふ～☆ 心白ちゃん、おっけおっけー♪
きらりん負っけないよぉ～！","","Nyuhuhuhuh~☆ Heart white girl, ok ok ok ok ok
I can't lose Kirarin!","","Nyufu fu~☆ Kohaku-chan, okay.♪
I can't bear the sparkle!",""
"ふたりともありがと！
えへへ、どんなの選んでもらえるのかな～","","Thanks to both of you!
Ehehe, I wonder what kind of choice they will give me~!","","Thanks, you two!
Hehe, I wonder what kind you'll choose~",""
"めっちゃいいコーデしてくれそうだから
勝敗決めるの難しそうかも……！","","I'm sure you'll make a really great coordinator.
It may be difficult to determine the winner. ......","","It looks like she's going to do a great job, so it might be hard for us to decide whether we win or lose!","It looks like she's going to do a great job, so it might
be hard for us to decide whether we win or lose!"
"（服選びに夢中になる３人。
充実したオフを過ごしたようでなによりだ！）","","(The three of them are engrossed in choosing clothes.
Glad to see you had a good time off!)","","(The three of us get absorbed in picking out clothes.
I'm glad to see you had a fulfilling day off!)",""
