"この気配……くんくん。
ふむ、これは亜美刑事の出番だね……！？","","This sign ...... kun kun.
Hmmm, this is where Detective Ami comes in: ......!","","This presence... *sniff* *sniff*
Hmm, it's Detective Ami's turn...!?"
"ってことで、さ、兄ちゃん、悩み事をどーぞ☆
今なら無料だよ！　タダより怖いものはないよ？","","So, brother, tell us what's bothering you.
Now it's free! There's nothing scarier than free stuff, right?","","Anyway, come on, bro, do whatever you're worried about☆ It's
free now! There's nothing scarier than free, you know?"
"タダより怖いものはないって自分で言うのか……。
というかここは事務所なんだが","","You say yourself that there's nothing scarier than free. ......
I mean, this is an office.","","So she's saying there's nothing scarier than free food......?
Actually, this is an office."
"何言ってんの兄ちゃん、ここは『亜美の部屋』だよ！
兄ちゃん専用の無料相談部屋だってばー","","What are you talking about, brother? This is ""Ami's room!
It's a free consultation room exclusively for you!","","What are you talking about, mister? This is   Ami's room  !
It's my brother's private free consultation room!"
"だからぁ、兄ちゃんはここでお悩み相談してね☆
さあ！　さあ、さあ、さあ、さあー！","","So, brother, you can talk to us about your problems here☆.
Come on! Come on, come on, come on, come on!","","That's why you should stay here and talk to
me☆ Come on! Come on, come on, come on, come on!"
"ぐ、ぐいぐいくるな。お悩みごとか、そうだな……。
亜美さん、悩み事があるので聞いてくれますか？","","Gee, that's grueling....your worries, or so I've heard. ......
Ami, I have a problem, will you listen to me?","","D-Don't squeeze so hard. Is something bothering you? Let's see...
Ami-san, there's something bothering you. Will you listen?"
"アイアイサー♪　大人な亜美がズバババーっと
悩み事をハカイしてみせるから安心して☆","","Ai Issar ♪ Adult Ami is Zubabaabaaa...
I'll take care of your problems, don't worry☆.","","Aye, aye! ♪ The grown-up Ami's going to
get all the troubles out of you, so don't worry ☆"
"破壊するのか……。えーっと、俺は亜美という
アイドルのプロデューサーをやってるんですが","","Destroy it. ....... Let's see, I'm Ami, the
I'm a producer of idols.","","Destroy it, huh... Um, I'm
an idol producer named Ami."
"亜美がとにかくやんちゃで困っています。
どうすればやんちゃがおさまるでしょうか？","","I am having trouble with Ami because she is just so naughty.
What can I do to stop the naughty behavior?","","Ami is a mischievous girl.
How can I make the kid calm down?"
"なるほど、なるほど。とっても簡単な問題ですね～！
アナタに解決方法をサズケましょー♪","","I see, I see...a very simple problem!
Let me help you find a solution.","","I see, I see. That's a very simple problem!
I'll teach you how to solve it-♪"
"大人でかわいい亜美ちゃんには、
毎日お菓子を差し入れすると良いとでとるのぅ","","For the mature and cute Ami,
It's a good idea to bring snacks every day.","","I told Ami-chan that it's okay
to give her sweets every day."
"さっきとキャラが変わってないか？","","Hasn't the character changed from earlier?","","Isn't she acting a bit different from before?"
"あとは、バズってる場所に連れて行ってあげるが
吉である！","","I'll take you to the rest of the buzz, though.
It is a good omen!","","Now all that's left is to take you
to the wrong place. Good luck!"
"ついでにバズってるスイーツを食べさせてあげるのが
大大大吉であるぞー！","","And while I'm at it, I'll let you try the buzzy sweets.
It's a big, big good luck!","","While you're at it, I'll give you some
of the sweets I've already made!"
"もはや相談というよりも占いになってきたな……","","It's becoming more of a divination than a consultation anymore. ......","","It's more like fortune-telling than consultation..."
"占いノー！　相談イエス！　亜美が特別に教えて
あげたお悩み解決方法だよ☆　参考にしてね♪","","Fortune-telling no! Consultation yes!
Here are the solutions to the problems I've given you☆ Please refer to them.","","Fortune-telling! Advice yes! It's the method Ami taught you
specifically to solve your problems☆ Use it as a reference♪"
"というわけで、兄ちゃん！　さっそくバズった場所か
スイーツの調査から始めるのをオススメするよ♪","","So, brother!
I suggest you start with a survey of the sweets... ♪","","So, mister! I'd recommend you start by
investigating the wrong spots or sweets. ♪"
"はいはい、わかったよ、まったく……。
変わらないなあ、亜美は","","Yes, yes, okay, totally .......
You never change, Ami.","","Okay, okay, I get it. Seriously...
You never change, do you, Ami?"
"え～っ！　でもでも、亜美は変わらない
ミリキってのも大事だと思うよ！","","But Ami is still the same.
I think it's important to say that Miriki!","","Whaaat?! But, but, Ami, I think it's
important for you to stay the same!"
"そうか……そこに気づくなんて……。
ほんのちょっぴり成長したかもな、亜美？","","Well ...... I can't believe I noticed that there. ......
You might have grown up just a little bit, Ami?","","I see......to think I'd notice that......
Maybe you've grown a little, Ami?"
"んっふっふ～♪　でしょでしょ？
亜美はアナドレないアイドルなのであーる☆","","I know, right?
Ami is an idol who is not anadoree☆.","","Hehehe~ Isn't that right?
Ami is an idol with no anadore☆"
"あ、兄ちゃん、ちゃんと亜美にアイス買ってきてね！
相談解決の正当ホーシューだかんね☆","","Oh, brother, make sure you buy Ami an ice cream!
It's a justifiable hoshu for consultation and resolution☆.","","Ah, Nii-chan, make sure you buy Ami some ice cream!
It's the rightful way to solve a problem☆"
"報酬！？　無料相談だって言ってなかったか？","","Reward! Didn't you say it was a free consultation?","","Rewards?! Didn't you say it was free advice?"
"アマアマだね～兄ちゃん。油断大敵、亜美無敵☆
無料なのはひとつ目のお菓子のアドバイスまでだよ","","You're a bitch, brother, you can't be too careful, Ami is invincible☆.
Free until the first piece of candy advice.","","You're such a bitch, bro. You're so careless, you're
invincible☆ The only thing free is advice on the first candy."
"ふたつ目からは有料なのでーす！　だから……
アイスもよろしくね？　兄ちゃん♪","","You have to pay for the second one! That's why ......
And ice cream, too, right, brother?","","There's a charge for the second one! So...
Ice cream, too, okay, mister?"
"（イタズラっぽく笑った亜美がまた少し、
大人びて見えたような、そうでもないような）","","(Ami laughs mischievously and a little again,
(She seemed more mature, or less so.)","","(Ami's mischievous smile seems a little
more mature, but it's not.)"
"（亜美にはまだまだ振り回されるだろうけど、
これからもその成長を、一番近くで見守っていこう）","","(I'm sure Ami will still be swept up in this,
(Let's continue to watch its growth from the closest place.)","","(I'm sure Ami will keep swinging me around, but
I'll keep watching over her from here on out.)"
